Actual	sgRNAscorer.Hg	sgRNAscorer.Mm	WU.CRISPR	Combined	State	DNase	H2A.Z	H2BK120ac	H2BK5ac	H3K14ac	H3K18ac	H3K23ac	H3K23me2	H3K27ac	H3K27me3	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K56ac	H3K79me1	H3K79me2	H3K9ac	H3K9me3	H3T11ph	H4K12ac	H4K20me1	H4K5ac	H4K8ac	H4K91ac	Class
COX6C_chr8_100904180	0.186219739	20.296502198	20.5776899571	0	0.296502197999999	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
CDK12_chr17_37618378	0.068019499	20.3177212208	20.6005880343	0	0.317721220799999	3_PromD1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0
GPR110_chr6_46977763	0.156054931	64.4099655297	65.2374267243	86	75.20498276485	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASIC1_chr12_50452585	3.017972194	37.2443808304	37.8583494217	0	17.2443808304	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPR119_chrX_129519072	0	36.2792194792	36.8852542967	49	42.6396097396	24_ReprPC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXT2_chr11_44117807	2.252832132	58.8249196498	59.6145222093	29	43.9124598249	3_PromD1	1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1
OR52M1_chr11_4566807	0.011805679	24.3914417469	24.7749148272	63	43.69572087345	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLRA2_chrX_14548185	0.144032922	36.6920594398	37.3013701536	0	16.6920594398	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNQ5_chr6_73332072	3.234802008	77.6091194235	78.368925334	0	57.6091194235	23_PromBiv	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
NMBR_chr6_142409740	2.234670163	91.1484044807	91.6933384153	37	64.07420224035	23_PromBiv	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
KCNA2_chr1_111146773	0.287528453	20.4239085108	20.7041414794	0	0.4239085108	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
