	MNase.Score	sgRNAscorer.Hg	WU.CRISPR	Azimuth	Class
ST3GAL4_chr11_126272459_.	1.771428704	23.01871293	0	0.304527884	0
ST3GAL4_chr11_126226655_.	0.656521797	64.23825921	0	0.439701241	0
SEC24C_chr10_75504867_.	3.479999781	34.81833309	27	0.546919337	0
CCT7_chr2_73461644_.	0.003846154	35.35177674	0	0.422571973	0
CCT7_chr2_73460284_.	0	52.05525869	0	0.374610833	0
CREBBP_chr16_3929799_.	0	0	0	0.207387883	0
ST3GAL4_chr11_126222120_.	0.446428567	87.97963564	0	0.560613333	0
ARF1_chr1_228273141_.	2.853846312	47.72174801	0	0.476193587	0
SEC24C_chr10_75504869_.	3.540740728	78.22876651	75	0.726238328	0
MCL1_chr1_150551950_.	0.157142848	71.89941409	0	0.286625205	0
SURF4_chr9_136238240_.	1.300000072	2.678795615	0	0.272044887	0
COG3_chr13_46042205_.	0.403571457	29.64704893	0	0.479273575	0
RAD21_chr8_117882716_.	0.892307699	63.91825938	0	0.419175823	0
CREBBP_chr16_3925629_.	1.004347801	57.7942024	0	0.61010593	0
ST3GAL4_chr11_126230089_.	1.814285874	45.28257433	0	0.22395406	0
COPA_chr1_160317896_.	2.025925875	26.25978499	0	0.396769775	0
COPB1_chr11_14520646_.	0.770370364	16.28724989	0	0.09796997	0
ILF3_chr19_10765549_.	0	59.31257003	0	0.493103884	0
MCL1_chr1_150551885_.	0.032142859	58.25681765	0	0.54935169	0
PRKDC_chr8_48872504_.	0	74.32465068	0	0.369919194	0
SMC3_chr10_112327943_.	0	0	0	0.361754375	0
PSMC6_chr14_53178640_.	1.144444346	75.14649606	54	0.524405014	0
WDR11_chr10_122610241_.	0.992592692	73.10364433	0	0.544831229	0
CCT7_chr2_73460290_.	0	9.683764664	0	0.228960626	0
SEC24A_chr5_133985455_.	0.478571475	10.13144733	0	0.356818106	0
HEATR1_chr1_236766475_.	2.915384769	69.03324215	0	0.500696878	0
COPA_chr1_160313681_.	0.425925851	96.19949052	68	0.61040252	0
RAB1B_chr11_66031729_.	0.796296239	0	61	0.463386795	0
ARCN1_chr11_118444141_.	1.053571343	81.91136385	0	0.591871494	0
ST3GAL4_chr11_126229882_.	2.450000286	52.11576332	0	0.3925368	0
SEC23IP_chr10_121656785_.	0.700000048	79.37514679	0	0.582247349	0
C17orf75_chr17_30665554_.	1	0	0	0.615596209	0
WDR11_chr10_122611499_.	0.560714304	61.48542745	0	0.568108985	0
COPB1_chr11_14522130_.	0.225000039	74.63410551	0	0.346244801	0
PRKDC_chr8_48877180_.	1.626923203	11.93803234	34	0.622928394	0
HEATR1_chr1_236765564_.	2.496296406	0	0	0.514599124	0
RAB5C_chr17_40311681_.	1.192307711	22.87325846	0	0.51615632	0
QSOX2_chr9_139132795_.	1.807142854	15.96042901	0	0.45859103	0
COG1_chr17_71190160_.	0.923076928	60.59714128	0	0.405177767	0
TUBA1B_chr12_49524399_.	0.481481493	19.43242156	0	0.459789986	0
PRKDC_chr8_48871106_.	1.085714459	56.27797325	0	0.487900115	0
EIF6_chr20_33872380_.	0	97.81980533	0	0.304116394	0
COPA_chr1_160311066_.	1.355999947	0	0	0.395014942	0
COPA_chr1_160310376_.	1.537037373	0	66	0.555282375	0
ILF2_chr1_153643402_.	0.107407399	24.10927115	0	0.283590882	0
COPA_chr1_160317274_.	0.996428609	0	66	0.483273732	0
RAB2A_chr8_61431996_.	1.442307711	73.16245291	86	0.685746601	0
WDR11_chr10_122611912_.	0.199999988	48.07076498	0	0.347119146	0
SMC3_chr10_112327938_.	0	0	0	0.153810227	0
TRAPPC11_chr4_184578238_.	1.492307663	56.2690137	0	0.65011995	0
COPB1_chr11_14521167_.	0	0	0	0.421491833	0
ST3GAL4_chr11_126273696_.	1.619230866	44.97511051	0	0.508341792	0
COPA_chr1_160312752_.	1.373076797	77.92922986	62	0.534157869	0
CREBBP_chr16_3925723_.	0.864285767	3.720500304	0	0.431548347	0
CREBBP_chr16_3930099_.	0	86.71394213	0	0.472403996	0
TUBA1B_chr12_49524825_.	0.174074084	95.53449262	62	0.640600533	0
ARL1_chr12_101799417_.	1.739285588	0	0	0.520385795	0
SMC3_chr10_112330686_.	0.550000072	37.74206001	0	0.1631254	0
C17orf75_chr17_30667382_.	2.103571177	0	0	0.372122439	0
ST3GAL4_chr11_126221489_.	0.623076975	0	0	0.453137825	0
ST3GAL4_chr11_126225543_.	0	19.96704507	0	0.318897806	0
GOLGA1_chr9_127702202_.	1.399999857	84.6855068	0	0.596104143	0
ST3GAL4_chr11_126280187_.	1.555999875	62.79186296	0	0.629846401	0
GBF1_chr10_104005740_.	0.221428603	80.94240483	55	0.495399847	0
SYNCRIP_chr6_86347121_.	1.03928566	0.692982679	0	0.408831102	0
RAB5C_chr17_40311935_.	0.566666663	21.37483782	0	0.32249626	0
ILF3_chr19_10765694_.	0.095833331	20.95359136	0	0.481608319	0
SYNCRIP_chr6_86351644_.	0.892857194	61.32563033	0	0.469329946	0
COPB1_chr11_14521099_.	0	0	0	0.535277216	0
COG1_chr17_71189778_.	0.41739127	39.27720376	0	0.253081063	0
PRKDC_chr8_48873508_.	0	29.67625044	0	0.20827713	0
CCT7_chr2_73465355_.	0.771428585	0	54	0.581836455	0
PRKDC_chr8_48870398_.	0.784000039	44.10146196	0	0.28431685	0
COG3_chr13_46039407_.	0.335714281	57.63975151	0	0.499593134	0
SYNCRIP_chr6_86351560_.	0.507407427	56.44477579	0	0.561270199	0
COPA_chr1_160313232_.	0.37499994	82.1015792	0	0.510677121	0
MCL1_chr1_150551920_.	0.060714293	25.46872655	0	0.475896759	0
RAB5C_chr17_40303090_.	1.199999928	0	0	0.627242016	0
ST3GAL4_chr11_126271722_.	1.585185051	0	0	0.354490842	0
COPA_chr1_160313963_.	1.978571534	29.11139305	0	0.28008531	0
TRAPPC8_chr18_29523036_.	0.111111112	42.97333261	0	0.477760264	0
CARM1_chr19_10979117_.	0.682142735	93.48161209	60	0.499642265	0
COG1_chr17_71189949_.	1.359259248	59.35843704	0	0.583087454	0
CCT7_chr2_73460136_.	0.134615391	46.71285814	77	0.548771603	0
SYNCRIP_chr6_86347248_.	0.953571439	2.482091034	0	0.334151606	0
PRKDC_chr8_48872787_.	0	57.42833556	0	0.347753445	0
ARCN1_chr11_118443696_.	0.804166615	80.82740546	0	0.574028607	0
WDR11_chr10_122610788_.	0.099999994	98.26147809	43	0.402657319	0
HEATR1_chr1_236767739_.	1.696428299	40.88262286	0	0.34121252	0
ARL1_chr12_101799264_.	0.862962842	4.489215169	0	0.391529304	0
RAD21_chr8_117885735_.	0.571428597	1.800280143	0	0.090513105	0
COPB1_chr11_14526097_.	0.730769217	13.51981739	0	0.485097996	0
RAB1B_chr11_66039579_.	0.964285672	54.62130405	0	0.59669102	0
CCT7_chr2_73459074_.	1.053846121	13.80051316	0	0.360229294	0
RAD21_chr8_117885687_.	2.003703594	31.58441392	0	0.399160765	0
TRAPPC11_chr4_184581165_.	0.907142758	84.83678682	0	0.557807004	0
CCT7_chr2_73456543_.	1.055555582	78.21516126	0	0.474502032	0
CREBBP_chr16_3929978_.	0	0	0	0.278776266	0
CCT7_chr2_73462942_.	0.528000057	86.06627341	28	0.560952338	0
RAB1B_chr11_66034831_.	0.303571492	94.64019654	75	0.655986404	0
MCL1_chr1_150551926_.	0.135714278	93.92815176	0	0.216259054	0
