	sgRNAscorer.Hg	sgRNAscorer.Mm	WU.CRISPR	Azimuth	Class
COX6C_chr8_100904180	20.2965022	20.57769	0	0.390286584	0
CDK12_chr17_37618378	20.3177212	20.600588	0	0.400215396	0
ASIC1_chr12_50452585	37.2443808	37.8583494	0	0.488796623	1
GPR119_chrX_129519072	36.2792195	36.8852543	49	0.638916109	0
EXT2_chr11_44117807	58.8249196	59.6145222	29	0.438160292	1
OR52M1_chr11_4566807	24.3914417	24.7749148	63	0.61825624	0
GLRA2_chrX_14548185	36.6920594	37.3013702	0	0.549379582	0
KCNQ5_chr6_73332072	77.6091194	78.3689253	0	0.542421543	1
NMBR_chr6_142409740	91.1484045	91.6933384	37	0.636616423	1
KCNA2_chr1_111146773	20.4239085	20.7041415	0	0.506902102	0
SLC6A7_chr5_149574447	68.0295142	68.8416792	62	0.538987691	1
FPR2_chr19_52272336	52.0804413	52.8560047	42	0.529258768	1
LPAR6_chr13_48986120	90.7093127	91.2648591	65	0.731969673	1
OR2J3_chr6_29080335	71.8006378	72.6087055	41	0.64712723	1
GPR61_chr1_110085826	98.6653585	98.8034474	79	0.658892095	1
TNFRSF13B_chr17_16852262	66.4599702	67.2516528	0	0.574449947	1
GABRA3_chrX_151532930	84.7786419	85.460416	0	0.487030713	0
NBN_chr8_90982670	46.1672103	46.8879099	0	0.454180553	0
NR4A3_chr9_102590375	32.6461762	33.1769729	0	0.677204909	0
OR10V1_chr11_59480623	16.0694922	16.2342247	58	0.275721184	0
SLC6A15_chr12_85264297	33.379569	33.927269	46	0.492562435	0
AVPR2_chrX_153171258	81.7107141	82.4356751	43	0.501089742	0
LIFR_chr5_38527372	16.2272246	16.3948404	0	0.448409859	0
FZD8_chr10_35930287	72.1670945	72.9741969	0	0.491185734	0
GPR182_chr12_57389219	22.2298667	22.5693837	0	0.41074426	0
GRIA4_chr11_105483067	52.6170558	53.3920977	0	0.640215329	1
SLC6A5_chr11_20622907	94.6141843	95.0202169	67	0.625464911	1
SFPQ_chr1_35658545	87.1741608	87.814309	46	0.543493709	1
CHRNB3_chr8_42585748	43.953574	44.6409355	0	0.613084246	1
OR2G2_chr1_247752245	79.9999558	80.7462286	73	0.663962853	1
SCTR_chr2_120236406	33.7455834	34.3089646	0	0.596955385	0
C3AR1_chr12_8212224	15.6293311	15.7828106	0	0.471072717	1
WT1_chr11_32456836	20.5980483	20.8859727	0	0.448727391	0
OR6K2_chr1_158669848	20.2917275	20.5737761	0	0.441755576	0
KCNC4_chr1_110754776	64.6152241	65.4453383	0	0.473841969	1
KCNJ11_chr11_17409608	90.7239134	91.278576	93	0.698894125	1
ALK_chr2_30143323	81.848647	82.5744535	62	0.634409235	1
KIT_chr4_55524226	60.8937283	61.698613	0	0.567483841	0
TTL_chr2_113239929	85.6802015	86.3353712	74	0.6587014	1
KCNV1_chr8_110986482	92.2251362	92.7312505	65	0.663316916	1
HTR4_chr5_147928268	62.1332805	62.9404496	74	0.755040282	1
KCNA1_chr12_5021146	58.2463095	59.0351204	50	0.595883866	1
RXFP2_chr13_32351540	17.4265879	17.6300563	0	0.276240106	0
GPR63_chr6_97247570	8.5843206	8.5289119	0	0.46263484	0
KCNJ3_chr2_155555402	16.3213552	16.4933826	0	0.252231485	0
LTB4R_chr14_24784882	73.1228908	73.9106039	39	0.6315677	0
GRIA1_chr5_153026704	46.7192736	47.4445965	56	0.495353829	0
OR10AD1_chr12_48596995	37.2936768	37.9070353	20	0.457490587	0
WHSC1L1_chr8_38173509	36.3543249	36.9604229	0	0.32931668	0
GPR32_chr19_51273916	6.0205244	5.9224084	0	0.369852653	0
APLNR_chr11_57004206	13.3396308	13.4307099	0	0.529909894	0
CCRL2_chr3_46449576	90.6998001	91.2554218	78	0.607189209	1
GABRE_chrX_151131062	30.0987505	30.6033534	0	0.550177925	0
OR9A4_chr7_141619592	12.259212	12.3276517	0	0.327278714	0
KCNB2_chr8_73479985	93.5885368	94.0283936	52	0.643876622	1
SCNN1G_chr16_23197638	55.6225986	56.4051701	31	0.454061596	0
GRIK3_chr1_37356673	47.818902	48.551532	0	0.685245692	0
OPRL1_chr20_62724229	36.3403509	36.9461939	79	0.425619194	0
P2RX5_chr17_3599248	64.9416025	65.7638265	0	0.538916302	1
OR10H3_chr19_15852602	90.7076166	91.2627741	80	0.724799066	1
GALR2_chr17_74070965	22.3530514	22.6942624	25	0.421099053	1
FCRL4_chr1_157557180	35.4601394	36.0505353	0	0.507030374	1
MRGPRX1_chr11_18956076	80.9870182	81.7214453	0	0.711417754	0
