Activity.Score	MNase.Score	sgRNAscorer.Hg	WU.CRISPR	DNase	H2A.Z	H2AK5ac	H2AK9ac	H2BK120ac	H2BK12ac	H2BK15ac	H2BK20ac	H2BK5ac	H3K14ac	H3K18ac	H3K23ac	H3K23me2	H3K27ac	H3K27me3	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K56ac	H3K79me1	H3K79me2	H3K9ac	H3K9me1	H3K9me3	H3T11ph	H4K12ac	H4K20me1	H4K5ac	H4K8ac	H4K91ac	Class	Combined
TRAPPC11_chr4_184585043_.	12.97850881	2.537500143	91.3542160963	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	81.17710804815
TRAPPC11_chr4_184580610_.	10.91588373	0	13.7135723211	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-6.2864276789
TRAPPC11_chr4_184580610_..1	10.91588373	0	13.7135723211	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-6.2864276789
SEC23B_chr20_18491562_.	10.42478931	1.511538625	84.5994877201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	64.5994877201
SEC23B_chr20_18491632_.	10.32298899	1.82799983	60.7006370131	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	68.35031850655
TRAPPC11_chr4_184580595_.	10.17061083	0	30.7735928433	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	10.7735928433
TRAPPC11_chr4_184580595_..1	10.17061083	0	30.7735928433	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	10.7735928433
TRAPPC11_chr4_184585224_.	10.16050431	1.5	94.486888635	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	88.2434443175
WDR11_chr10_122610983_.	9.986734881	0.369230747	92.4203659848	77	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	84.7101829924
WDR11_chr10_122610983_..1	9.986734881	0.369230747	92.4203659848	77	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	84.7101829924
WDR11_chr10_122610983_..2	9.986734881	0.369230747	92.4203659848	77	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	84.7101829924
TRAPPC8_chr18_29522562_.	9.882864714	0.24782604	80.0964092104	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	60.0964092104
VPS54_chr2_64246066_.	9.775377774	0	81.3584893973	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	61.3584893973
VPS54_chr2_64246066_..1	9.775377774	0	81.3584893973	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	61.3584893973
VPS54_chr2_64246066_..2	9.775377774	0	81.3584893973	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	61.3584893973
SEC23B_chr20_18491705_.	9.690587553	0.350000024	61.5290084872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41.5290084872
SEC23B_chr20_18491705_..1	9.690587553	0.350000024	61.5290084872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41.5290084872
VPS54_chr2_64246552_.	9.307686439	0	35.5854625175	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	1	15.5854625175
VPS54_chr2_64246552_..1	9.307686439	0	35.5854625175	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	1	15.5854625175
SEC23B_chr20_18491520_.	9.277348614	0.767857075	95.2800118281	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	85.14000591405
SEC23B_chr20_18491520_..1	9.277348614	0.767857075	95.2800118281	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	85.14000591405
SEC22B_chr1_145091843_.	9.060869217	NA	81.4809734867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	61.4809734867
VPS54_chr2_64246570_.	8.759991778	0	36.0935392039	90	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	63.04676960195
TRAPPC8_chr18_29522683_.	8.752129324	0.270833343	91.6630441315	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	71.6630441315
